	levofloxacin	imipenem	amikacin	ciprofloxacin	ceftazidime	cefepime	meropenem
287.920	0	2	0	2	2	2	0
287.922	0	2	0	2	2	2	0
287.923	0	2	0	2	2	2	0
287.924	0	2	0	2	2	2	1
287.926	0	2	0	2	2	2	0
287.927	0	2	0	2	2	2	0
287.928	0	2	0	2	2	2	0
287.930	0	2	0	2	2	2	0
287.931	0	2	0	2	2	2	0
287.932	0	2	0	2	2	2	0
287.933	0	2	0	2	2	2	0
287.952	0	2	0	2	2	2	0
287.953	0	2	0	2	2	2	0
287.957	0	2	0	2	2	2	0
287.959	0	2	0	2	2	2	0
287.960	0	2	0	2	2	2	0
287.961	0	2	0	2	2	2	2
287.962	0	2	0	2	2	2	0
287.963	0	2	0	2	2	2	0
287.967	0	2	0	2	2	2	0
287.968	0	2	0	2	2	2	0
287.969	0	2	0	2	2	2	0
287.970	0	2	0	2	2	2	1
287.971	0	2	0	2	2	2	0
287.973	0	2	0	2	2	2	0
287.976	0	2	0	2	2	2	0
287.978	0	2	0	2	2	2	0
287.980	0	2	0	2	2	2	0
287.981	0	2	0	2	2	2	0
287.984	0	2	1	2	2	2	1
287.985	0	2	2	2	2	2	1
287.986	0	2	2	2	2	2	1
287.988	0	2	0	2	2	2	0
287.989	0	2	0	2	2	2	0
287.990	0	2	0	2	2	2	0
287.991	0	2	0	2	2	2	1
287.992	0	2	0	2	2	2	0
287.998	0	2	0	2	2	2	0
287.999	0	2	0	2	2	2	0
287.3105	2	1	2	2	1	2	2
287.3106	2	1	2	2	1	2	2
287.3107	2	1	2	2	1	2	2
287.3108	2	1	2	2	1	2	2
287.3109	2	1	2	2	1	2	2
287.3110	2	1	2	2	1	2	2
287.3112	2	1	2	2	1	2	2
287.3113	2	1	2	2	1	2	2
287.3114	2	1	2	2	1	2	2
287.3115	2	1	2	2	1	2	2
287.3116	2	1	2	2	1	2	2
287.3117	2	1	2	2	1	2	2
287.3118	2	1	2	2	1	2	2
287.3119	2	1	2	2	1	2	2
287.3120	2	1	2	2	1	2	2
287.3121	2	1	2	2	1	2	2
287.3122	2	1	2	2	1	2	2
287.3123	2	1	2	2	1	2	2
287.3124	2	1	2	2	1	2	2
287.3125	2	1	2	2	1	2	2
287.3126	2	1	2	2	1	2	2
287.3127	2	1	2	2	1	2	2
287.3128	2	1	2	2	1	2	2
287.3129	2	1	2	2	1	2	2
287.3130	2	1	2	2	1	2	2
287.4059	2	1	2	2	1	1	0
287.4060	2	1	2	2	0	2	1
287.4061	2	1	2	2	2	0	1
287.4062	2	1	2	2	0	0	1
287.4066	2	1	2	2	1	2	1
287.4068	2	1	2	2	1	1	1
287.4069	2	1	2	2	2	2	1
287.4071	2	1	2	2	0	1	1
287.4072	2	1	2	2	2	2	0
287.4075	2	1	2	2	1	1	1
287.4076	2	1	2	2	0	2	0
287.4077	2	1	2	2	0	2	1
287.7774	2	1	0	2	0	0	2
287.7790	2	1	0	0	2	1	1
287.7797	2	1	0	2	1	1	1
287.7803	2	1	0	2	0	1	1
287.7844	2	1	0	1	0	1	1
287.7853	2	1	2	1	0	1	1
1402508.3	2	0	1	0	0	2	2
1418248.3	2	0	0	0	0	2	2
287.1482	2	0	0	0	0	2	0
287.4054	2	0	2	2	0	0	0
287.4058	2	0	2	2	2	0	0
287.4070	2	0	2	2	0	0	0
287.4074	2	0	2	2	0	0	0
287.4078	2	0	2	2	0	0	0
287.7827	2	0	0	1	0	0	0
287.7828	2	0	0	0	0	0	0
287.8027	2	0	0	2	0	0	0
287.1017	2	2	1	2	2	2	1
287.1090	2	2	1	2	2	2	0
287.1219	2	2	1	2	2	2	0
287.1232	2	2	1	2	2	2	1
287.1234	2	2	1	2	2	2	1
287.1235	2	2	1	2	2	2	2
287.1241	2	2	1	2	2	2	1
