	chloramphenicol	trimethoprim_sulfamethoxazole	ampicillin	nalidixic_acid	ciprofloxacin	amoxicillin_clavulanic_acid	ceftriaxone	azithromycin	sulfisoxazole	cefoxitin	gentamicin	tetracycline	ceftiofur	kanamycin	enrofloxacin	streptomycin	ceftazidime	colistin	ampicillin_sulbactam	cefotaxime	spectinomycin	sulfamethoxazole	trimethoprim	cefazolin	sulphathiazole
GCA_010489015.1	1	0	0	1	1	0	0	0	1	0	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010450535.1	1	0	1	0	0	0	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010854765.1	1	0	1	0	0	1	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010534475.1	1	0	1	1	1	0	0	0	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010444095.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010524955.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_011263915.1	1	0	1	0	0	0	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010462165.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010490555.1	1	1	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010435495.1	1	1	1	1	1	0	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010832245.1	1	1	1	0	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010841795.1	1	0	1	0	1	1	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_010013645.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_014344265.1	1	0	1	1	1	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_011245735.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_011353125.1	1	0	1	0	0	1	0	0	1	0	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_011277045.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_011230595.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_011346805.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2
GCA_011246295.1	1	0	1	1	1	0	1	0	1	0	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_011668305.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_011511945.1	1	1	0	1	1	0	0	0	1	0	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_012167625.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_013723015.1	1	0	1	1	1	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_013703245.1	1	1	1	0	1	0	0	1	1	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_013664755.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_013574095.1	1	0	0	1	1	0	0	0	0	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_013439755.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_013916725.1	1	0	0	0	0	0	0	0	1	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014065645.1	1	0	0	0	0	0	0	0	1	0	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014062725.1	1	0	0	1	1	0	0	0	1	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014090105.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014150905.1	1	1	1	1	1	0	1	0	1	0	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014250035.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014357135.1	1	0	1	1	1	0	1	0	1	0	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014356435.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014388265.1	1	0	0	1	1	0	0	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014460275.1	1	0	1	1	1	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014603255.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014616155.1	1	0	0	0	0	0	0	0	0	1	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014614375.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014813405.1	1	1	0	1	1	0	0	0	1	0	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_015296465.1	1	1	1	1	1	0	1	0	1	0	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014966435.1	1	0	1	1	1	0	1	0	1	0	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_014983545.1	1	1	0	0	0	0	0	0	1	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_015289965.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_015381425.1	1	1	1	0	1	1	0	1	1	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_015371925.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_015443565.1	1	0	1	0	0	1	0	0	1	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_015481865.1	1	1	1	0	1	0	0	1	1	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_015696425.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_015843875.1	1	0	1	1	1	0	1	0	1	0	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_016244375.1	1	1	1	0	1	0	0	1	1	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_016261245.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_016347645.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_017235995.1	1	0	1	0	0	1	1	0	1	1	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2
GCA_017203355.1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_017123675.1	1	0	1	0	0	1	1	0	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2
GCA_016997095.1	1	0	1	0	0	1	0	0	1	0	0	1	2	2	2	2	2	1	2	2	2	2	2	2	2
